"Files","LOC","ParseFailures","type_decs","Subtyping","Functions","Modules","Project"
8,16853,0,12,6,78,0,700
9,39790,0,0,9,8,1,701
2,11015,0,0,0,0,0,702
10,40130,0,0,0,13,0,703
2,12715,0,2,2,3,0,704
10,3707,0,3,55,147,7,705
2,122,0,0,0,4,0,706
3,940,0,0,2,27,0,707
3,1084,0,0,4,30,0,708
5,268,0,0,4,8,1,709
2,13440,0,0,2,10,0,710
60,18711,1,34,251,611,0,711
11,31941,0,0,16,146,0,712
2,1435,0,0,4,44,0,713
1,165,0,0,2,12,0,714
9,2745,1,7,13,57,0,715
25,5513,0,1,4,152,0,716
1,47,0,0,0,0,0,717
2,55,0,0,0,3,0,718
3,252,0,3,0,25,1,719
22,4522,0,1,115,146,1,720
2,259,0,0,4,2,0,721
10,707,0,11,47,30,2,722
1,323,0,0,0,3,0,723
1,81,0,0,0,0,0,724
7,365,1,2,22,12,0,725
11,1234,0,0,0,25,1,726
6,1258,5,0,0,2,0,727
10,1661,0,1,0,3,2,728
19,1330,0,14,64,36,1,729
3,801,0,5,7,9,0,730
7,2254,0,3,2,12,0,731
1,137,0,1,0,5,1,732
13,6616,0,0,0,26,8,733
32,11913,4,48,24,378,9,734
36,15852,0,9,11,106,0,735
17,3242,0,9,25,25,1,736
15,5310,0,4,6,43,0,737
5,666,1,4,8,5,0,738
1,63,0,0,0,0,0,739
321,65585,0,544,36,4235,14,740
36,5527,0,73,220,236,13,741
4,368,0,1,1,18,0,742
22,12108,0,77,19,720,13,743
2,202,0,1,0,9,0,744
203,76105,11,361,1068,3877,38,745
5,301,0,0,0,0,1,746
28,20303,1,75,109,487,9,747
3,1690,0,8,7,42,1,748
33,10225,8,15,10,146,7,749
3,632,2,0,1,4,0,750
5,393,1,1,1,5,0,751
8,1395,0,10,14,52,1,752
1,1082,0,4,1,39,1,753
2,1516,0,6,1,50,1,754
5,987,3,0,0,8,0,755
11,3096,4,3,11,31,3,756
44,11721,4,18,23,308,17,757
6,1180,0,8,3,40,5,758
5,1693,0,6,1,66,4,759
3,636,0,5,2,19,2,760
10,2647,3,7,47,58,1,761
1,99,0,0,0,8,1,762
2,103,0,1,1,6,1,763
22,5700,4,17,4,135,7,764
3,611,1,0,0,3,0,765
2,496,0,5,0,22,1,766
7,1477,0,16,0,48,2,767
4,455,0,2,2,8,2,768
10,2367,2,11,0,39,1,769
2,470,0,0,0,0,0,770
8,313,0,2,10,21,1,771
4,170,0,0,0,4,0,772
4,215,0,0,0,4,0,773
8,1868,0,6,16,44,1,774
4,523,0,0,0,1,0,775
9,1384,1,5,1,49,3,776
1,590,0,1,1,35,0,777
1,14,0,0,0,0,1,778
20,3049,0,1,185,117,7,779
17,3248,3,14,5,81,5,780
3,45,0,0,0,0,3,781
5,688,0,0,0,0,0,782
4,12080,0,0,0,9,0,783
10,586,3,1,1,12,2,784
2,598,0,2,0,30,1,785
5,1053,0,0,12,50,0,786
2,189,0,0,0,0,0,787
3,349,0,8,7,11,0,788
0,0,0,0,0,0,0,789
1,157,0,0,1,8,0,790
8,1641,0,16,16,75,0,791
1,112,0,0,3,0,0,792
2,289,0,0,3,12,1,793
1,100,0,2,2,8,0,794
0,0,0,0,0,0,0,795
45,7198,3,34,32,264,12,796
1,197,0,2,2,11,0,797
0,0,0,0,0,0,0,798
18,2260,0,6,22,43,0,799
21,56797,1,23,40,60,0,800
41,8349,2,30,37,161,4,801
3,2577,0,33,0,16,3,802
1,129,0,0,0,1,0,803
10,781,0,5,54,26,4,804
22,5336,0,14,6,35,6,805
4,2201,0,26,0,13,4,806
5,5001,0,68,0,32,4,807
18,4129,0,30,26,60,5,808
3,167,2,0,0,2,0,809
10,1491,2,0,13,38,2,810
2,44,0,6,8,6,0,811
2,938,0,0,0,4,0,812
2,429,0,26,14,14,0,813
24,7768,0,126,49,348,5,814
2,466,0,0,12,17,1,815
2,864,0,0,10,0,0,816
1,47,0,0,0,0,0,817
3,323,0,0,3,16,0,818
4,468,1,2,0,25,0,819
28,19206,3,53,76,994,6,820
5,1806,0,5,3,113,2,821
18,16485,0,54,76,850,3,822
3,3858,0,16,26,204,0,823
3,833,0,5,4,38,1,824
7,1162,0,9,176,3,0,825
6,1101,0,4,2,39,0,826
7,310,0,3,0,12,0,827
4,133,0,1,0,4,1,828
48,7063,2,48,55,283,12,829
8,960,0,3,0,5,1,830
22,5014,3,9,25,95,1,831
3,1465,0,2,12,22,0,832
4,1654,0,2,12,18,0,833
1,139,0,0,1,10,0,834
10,569,1,1,0,18,1,835
1,175,0,0,0,7,0,836
7,816,0,8,15,43,3,837
0,0,0,0,0,0,0,838
2,65,0,1,1,2,1,839
7,209,0,4,2,0,1,840
5,94,0,0,0,0,0,841
1,133,0,0,0,6,0,842
10,796,0,2,2,56,1,843
2,56,0,0,0,0,0,844
